4716408099046978,2021-12-20 09:13:00,56,5,22,【2021第十届#中国上市公司高峰论坛#】当前，新一轮科技革命和产业变革正在深刻改变经济格局和人类生活，在新冠肺炎疫情仍在全球蔓延的背景下，更需要科技界、产业界深化合作，协力推动构建人类命运共同体，为全人类共同面对的重大问题探讨科技解决方案。科技创新，构建高水平开放体系，打造可持续内生动力，是新时期培育经济发展新动能的需要。2021第十届中国上市公司高峰论坛主论坛将以“科技创新 绿色发展”为主题，邀请众多国内顶尖经济学者、知名企业家、上市公司董事长等，以新的视角，围绕科技创新、高水平开放、碳中和等话题献上一场顶级智慧碰撞。 每日经济新闻的微博直播
4716626118707180,2021-12-20 23:39:20,13,3,7,【你发现了吗？#2022年春节没有年三十#】春节不远了，不少人发现，2022除夕不是年三十。天文专家介绍，这主要与“朔望月”有关，月亮圆缺变化一周称为一个朔望月，一个周期平均为29.5天。恰逢2022年腊月是小月，便没有了年三十。专家表示，只要正月初一还在，前一晚都是除夕。（荔枝新闻；阿法）荔枝新闻的微博视频
4716620159911675,2021-12-20 23:15:39,7,1,5,#每经整点播#【每经23点 | 中植企业集团刘洋发公开信】12月20日，中植企业集团刘洋发公开信称，集团战略不变，下一步，集团将继续按照解直锟先生确定的发展战略，坚持实业与资管双轮驱动，进一步突出发展实体产业，做强做优资产管理，发挥综合经营优势，实现高质量发展，更好地服务国家、回馈社会。集团坚持遵纪守法、合规运营。在发展过程中始终重视落实监管要求，提升法律合规意识，不断加强合规风控管理及制度建设。集团与专业研究机构、行业专家、监管机构、著名高校等均保持良好的合作，为业务发展提供综合全面的研究及专家资源支撑，从而更好地把握趋势，有效控制风险。（中植企业集团微信号；阿法）更多>>每经23点|中植企业集团刘洋发公开信；中国电信计划1月择机推动5G消息商用；道指跌超600点，热门中概股多数下跌 每经23点 | 中植企业集团刘洋发公开信
4716617857240145,2021-12-20 23:06:30,15,1,7,【缓解“停车难”！#上海机关单位车位将错时对外开放#】 近日，上海市一批政府机关、事业单位率先打开大门，将内部停车资源错时对外开放，缓解周边居民“停车难”的问题。截至目前，上海仅市区两级机关事业单位和所属国有企业，就提供了近2400个错峰共享停车位。（央视财经；阿法）央视财经的微博视频
4716613482320226,2021-12-20 22:49:07,13,6,8,#节日期间严控庙会大型文艺演出等活动#【国务院联防联控机制：节日期间严控庙会、大型文艺演出、展销促销等活动】元旦、春节将至，人口流动激增，如何做好节日期间疫情防控成了社会各界关注的焦点。12月20日，国务院联防联控机制发布《2022年元旦春节期间新冠肺炎疫情防控工作方案》（以下简称《工作方案》）。《工作方案》提出，要坚持“外防输入、内防反弹”总策略，坚持常态化防控和应急处置相结合，坚持科学精准从严从紧做好疫情防控，最大限度减少对人民群众生产生活的影响，确保群众度过健康平安的节日。《工作方案》提出，严格控制聚集性活动。按照非必要不举办的原则，严控庙会、大型文艺演出、展销促销等活动，减少农村集市规模和频次，控制人流量，落实通风消毒等防控措施。举办会议、聚会等活动应当控制人数，尽量举办线上会议或视频会议，50人以上活动应制定防控方案，严格落实各项防控措施。详情>>国务院联防联控机制：节日期间严控庙会、大型文艺演出、展销促销等活动 (每日经济新闻；阿法)
4716609337823690,2021-12-20 22:32:39,12,2,3,#电信5G消息有望在春节前迎来商用#【中国电信计划1月择机推动5G消息商用 方案正在制定中】电信5G消息有望在春节前迎来商用。12月20日，在2021中国增值电信及虚拟运营商高峰论坛——5G融合通信趋势下的技术创新会上，中国电信方面人士透露：“计划在1月份择机（选个时间点）推动5G消息的商用，目前正在制定方案的过程中。” (澎湃新闻；阿法)
4716608209289986,2021-12-20 22:28:10,13,2,2,【#美国一邮轮48人新冠检测阳性#】当地时间12月20日，据美国有线电视新闻网报道，皇家加勒比游轮公司表示，上周末停靠在美国迈阿密的世界上最大邮轮“海洋交响号”（The Symphony of the Seas）上至少有48人的新冠病毒检测结果呈阳性。皇家加勒比游轮公司在一份声明中表示，该邮轮载有6000多名乘客和船员，其中一名客人在航行期间新冠病毒检测结果呈阳性，在追踪接触者后发现了后续病例。船上95%的人都已接种了新冠疫苗。在新冠病毒检测结果呈阳性的人中，98%的人都接种了新冠疫苗。目前尚不清楚确诊病例是否感染了奥密克戎毒株。声明中还指出，所有新冠病毒检测结果呈阳性的人都没有症状或症状较轻，并很快进入了隔离。（央视新闻；阿法）
4716592502672677,2021-12-20 21:25:45,39,1,5,【#中国空间站即将迎来首个冬至#  网友：和天宫空间站一起过冬至】2021年12月21日是冬至，不少人可能因为工作等原因无法与家人在这一天团圆，同样因公在身出差在外太空的“三人组”也只能在天空遥望地球的家园，而这个冬至是他们、也是中国天宫空间站的第一个冬至。在今天，由南京、烟台、北京、西安四地的天文爱好者们共同发起了一场”打卡最亮中国星——多地直播空间站“过境的直播活动，不少网友表示：今年的冬至，可以和天宫空间站一起过，无论身在何处，都不会感到孤单。#四地星空爱好者直播天宫空间站过境#（扬子晚报；阿法）扬子晚报的微博视频
4716588965826798,2021-12-20 21:11:42,12,1,11,#每经整点播#【每经21点丨我国公司法修改涉及国家出资公司、公司登记制度等内容】《中华人民共和国公司法（修订草案）》20日提请十三届全国人大常委会第三十二次会议审议。主要修改内容包括坚持党对国有企业的领导，完善国家出资公司特别规定，完善公司设立、退出制度，优化公司组织机构设置，完善公司资本制度，强化控股股东和经营管理人员的责任，加强公司社会责任等。（新华社；阿法）更多>>每经21点丨我国公司法修改涉及国家出资公司、公司登记制度等内容；人民锐评：薇娅偷逃税被罚13.41亿元，一点也不冤！ 每经21点丨我国公司法修改涉及国家出资公司、公司登记制度等内容
4716585845528468,2021-12-20 20:59:18,4,1,1,#中国上市公司高峰论坛#【成都传媒集团董事长母涛：建设新型智媒体集团，为上市公司提供强大的传播力支撑】今日（12月20日），由中国上市公司协会、中国经济改革发展研究基金会、成都传媒集团作为指导单位，每日经济新闻主办的2021第十届中国上市公司高峰论坛周正式拉开序幕，论坛周以“科技创新 绿色发展”为主题在线上举办。今日上午，高峰论坛周开幕论坛举行，成都传媒集团党委书记、董事长，博瑞传播（600880.SH）董事长母涛通过视频致辞。母涛表示：“成都传媒集团下属每日经济新闻主办的中国上市公司高峰论坛，已来到第十个年头。十年来共有2000余家上市公司、与会嘉宾超过600位。论坛发出的声音，通过成都传媒集团媒体矩阵全网全球传播，触及全球2.6亿用户，全网传播量超30亿人次，影响投资者2亿多人，成为驱动中国经济增长的重要力量。”详情>>成都传媒集团董事长母涛：建设新型智媒体集团，为上市公司提供强大的传播力支撑 (每日经济新闻；阿法)
